标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
满五年唯一~、商品房中楼层~、格局方正~、通风好~、临靠黄,120,38598,越秀,1室1厅1卫,31.09㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,精装,,,商场：东山广场、医院：中大附属肿瘤医院、中大广州达安临床检验邮局：区庄邮局、犀牛路邮政所银行：建设银行、工商银行、中国银行其他：黄花岗公园小区内部配套：停车场,房子出行比较方便~、楼下过马路就是地铁口~、离黄花岗地铁口近~、离黄花岗动物园公交总站就200米公交：2路、54路、56路、62路、185路、189路、204路、261路、283路、284路、293路、305路、517路、518路、542路、550路地铁：5号线区庄站、5号线动物园站
水荫路没有占用 房出阳台正南向 电梯两房 看房方便,220,40390,越秀,2室1厅1卫,54.47㎡,平层,塔楼,中楼层(共9层),暂无数据,49.21㎡,南,钢混结构,简装,,有,配套完善~、有沙河顶~、龙岗路菜市场~、东风公园和十九路军公园。建设银行~、农业银行~、中国银行~、工商银行,地铁：6号线沙河顶站距离家门口300米左右公交：沙河顶站、十九路军陵园站、水荫路站等等10多路公交线
德政南路大院管理 电梯平层 近珠江边 近园一大广场,245,55044,越秀,2室1厅1卫,44.51㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,天字码头江边新大新、天河城、北京路步行街、中华广场。越秀区长堤医院广医一院中山二院省中医省人民医院邮局:中国邮政银行:工商银行、农业银行、中国银行、建设银行、广发银行。其他:中山图书馆~、广州少儿图书馆。粤海仰忠汇~、光明广场~、北京路.,6号线团一大地铁A出口~、1号线农讲所地铁A出口。八旗二马路公交站~、珠光路公交站~、沿江中路站~、近天字码头~、多条路线去往各区。
水荫直街 加装电梯 大两房 阳光充足,430,49511,越秀,2室2厅1卫,86.85㎡,平层,塔楼,高楼层(共9层),暂无数据,79.56㎡,南,钢混结构,其他,,有,公园：广州动物园、东风公园；医院：越秀区圣亚医院、广州解放军第458医院、广空司令部医院、白云区人民医院；购物：天河城、正佳广场、维多利广场、时代广场、华润；胜佳、、双菜市场；银行：中国银行、工商银行、广发银行。,地铁：3号线林和西站、5号线动物园站、6号线沙河顶站；公交：20路、27路、B2路、78路、133路、192路、199路、233路、268路。
北京路 次新房 近地铁口 适合单身老 楼下天河城,230,63222,越秀,1室0厅1卫,36.38㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,北,钢混结构,其他,,有,天字码头江边新大新北京路步行街中华广场越秀区长堤医院广医一院中山二院省中医省人民医院邮局中国邮政银行工商银行农业银行中国银行建设银行广发银行其他中山图书馆广州少儿图书馆,交通出行:地铁:6号线北京路地铁A出口~、1号线海珠广F出口;公交站:珠光路~、北京南路站约200米公交车站
楼龄新视野开阔户型方正采光好精装,650,69238,越秀,3室1厅2卫,93.88㎡,平层,塔楼,高楼层(共39层),暂无数据,75.53㎡,东北,钢混结构,精装,,有,公园东山湖公园烈士陵园公园英雄广场等医院省医中山医广药一院等,此房近省人民医院~、东川路~、东华西路~、烈士陵园公交车站~、16路;76路;211路;864路;夜4路~、16路;93路;112路;221路;864路;夜93路~、3路;106路;215路;215路长线;夜21路~、1路;76路;93路;102路;107路;108路;183路;211路;222路;243路;517路;864路;b8路;夜1路;夜27.
淘金半山豪庭 奢适三房 理想生活新篇,1010,93071,越秀,3室1厅1卫,108.52㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,东,钢混结构,其他,,有,坐拥多家大型商场和购物~、包括品牌云集的丽柏广场、广州友谊商店、中环广场、好世界广场等~、还有的大公园方便运动健身娱乐休闲~、有黄湖公园~、雕花岗公园塑公园~、越秀公园~、白云山~、云台花园,
满二不唯一~、框架结构~、户型方正~、精装三房,252,39648,越秀,3室1厅2卫,63.56㎡,平层,塔楼,中楼层(共8层),暂无数据,57.94㎡,东西,钢混结构,精装,,,商场：中华广场~、流行前线~、北京路步行街；银行：建设银行~、工商银行~、农业银行~、广州银行;市场：珠光路市场~、三角市市场,这房子就在农讲所地铁边的小区环境很好去地铁站1号线农讲所站只有200米距离位置十分好旺中带静往北走是中山四路往东走是德政中路往南走是文明路出行十分方便基本上出门不是公交就是地铁停车场也十分充足
原小北 精致小户型 业主自住装修,170,71369,越秀,1室1厅1卫,23.82㎡,平层,塔楼,中楼层(共21层),暂无数据,暂无,东,钢混结构,简装,,有,距离越秀公园步行200米~、生活配套有都城快餐、麦当劳、正骨医院、登峰市场、越秀城市广场、711便利店、大森林药房等等生活所需都有。交通：公交地铁兼具~、交通十分便利。地铁双号线~、2号线纪念堂~、5号线小北站,5号线小北地铁站、1号线农讲所经过越秀桥的线路:2路B3CB3B4AB4快B411路高峰快线12高峰快线14夜18路夜19路27路高峰快线30夜38路54路56路62路65路85路133路184路185路204路209路220路261路283路283班车284路293路305路..
冠城大厦 2室1厅 南,420,60224,越秀,2室1厅1卫,69.74㎡,平层,塔楼,中楼层(共28层),暂无数据,暂无,南,钢混结构,简装,,有,,
