标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
带10多方露台 全新装修 温馨 南向二房,95,23918,白云,2室1厅1卫,39.72㎡,平层,塔楼,低楼层(共9层),暂无数据,36.11㎡,南,钢混结构,精装,,,位于机场路以西~、此地段经过了二十多年的发展已经成熟了~、小区离最近的菜市场350米~、多家钱大妈以及水果店~、逛街可去到达广场（1.5公里）五号停机坪（2公里）凯德广场（2.5公里）等等~、远景路还有吃货韩国街（烤肉）,交通便利飞翔公园地铁站离小区大概700米步行50米有公交车站白云政务244.280.810.807.886.268.32.58等等远景路站：475.32.58.63.244等等近韩国街~、飞翔公园地铁站~、生活配套齐全。
万科蓝山 情境洋房 环境优美 户型方正实用景观好,360,26278,白云,3室2厅2卫,137㎡,平层,板楼,中楼层(共4层),暂无数据,暂无,南北,钢混结构,其他,,,银行：工商银行、中国银行、建设银行、农业银行、广发银行商场：吉之岛、太阳城、沃尔玛医院：一五七医院、南方医院、三九脑科医院、黄庄菜市场酒店：七天酒店,
怡富易改三房~、新装未住~、电梯高层~、税费少~、近石井站,141,15974,白云,2室2厅1卫,88.27㎡,平层,塔楼,中楼层(共16层),暂无数据,70.84㎡,西,钢混结构,简装,,有,好当家连锁~、马岗综合市场~、石井广场~、建设银行~、民生银行~、餐饮：宏政大酒店~、美景大酒店~、东发大酒店。,石井镇政府站有车126~、521~、556~、543~、乡村巴士1~、乡村巴士2~、夜3~、地铁8号线石井站900米
合益小区 精装两房 格局方正 通风采光靓,105,21460,白云,2室1厅1卫,48.93㎡,平层,板楼,低楼层(共9层),暂无数据,44.21㎡,南,钢混结构,精装,,,离地铁口紧2公里左右新建白云火车站在小区开工政府已经准备改造小区小区近菜市场买菜方便小区门口有保安小区内有24小时监控居住安全小区有绿化有散步空间有大道中公交车站可以到达广州的各个地方交通便利.,地铁2号线、地铁8号线聚龙地铁站~、公车:185路7路975路424路103路105路115路113路63路555路556路540路等等
电梯高层大三房~、东南向~、望花园,215,21755,白云,3室2厅1卫,98.83㎡,平层,塔楼,高楼层(共15层),暂无数据,83.47㎡,南,钢混结构,其他,,有,,房子位于棠溪和三yuan里大道北中间~、出行方便~、有多条公交线路可以到达地铁站、火车站、城轨站等~、享受多维立体交通~、并且距离小区近的地铁14号线二期岗贝站现在已经施工~、届时交通更加便利
凯云高楼层3房 采光通风好 视野开阔 南北对流 诚心卖,590,47501,白云,3室2厅2卫,124.21㎡,平层,板楼,高楼层(共16层),暂无数据,98.49㎡,东北,钢混结构,精装,,有,有步行街市、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等；小区有四大银行~、华夏银行~、民生银行~、平安银行~、招商银行等,岭南新世界西北方向就有嘉禾望岗地铁站有2号线、3号线、14号线~、东南方向还有白云大道北地铁站有3号线交通便利。
白云高尔夫花园东区  望白云山视野开阔  证够五年,208,27133,白云,2室1厅1卫,76.66㎡,平层,塔楼,中楼层(共13层),暂无数据,暂无,东,钢混结构,精装,,有,白云汇购物广场、北京饭庄、钱大妈、bai果园麦当劳、星巴克、电影院、健身房·海王星辰姓药店、新市三甲医院、社区医院~、南方医院白云分院~、工商、建设银行、农行、医疗诊所、美容养生、理发店、服装等、白云文化公园、市场：高尔夫菜市场。,地铁2号线萧岗站、在建14号线马务站~、公交小区出口50米~、祥景花园站。886总站.126、127、244、265、268、291A、291B、36、563、803、810、832、841、夜22等多条公交接驳到广州各个区
南向三房~、看房方便~、安静舒适~、证过五年,350,37223,白云,3室1厅2卫,94.03㎡,平层,塔楼,中楼层(共17层),暂无数据,75.32㎡,南,钢混结构,精装,,有,该小区配套成熟~、生活方便。小区北门出来是大型购物商场-云门PARK~、该商场内有河马鲜生、东海酒家、美亚影院、各类品牌餐饮店和服装店。东门出来是双城荟步行街~、这条街有四大银行、菜市场、宠物医院、美容院、星巴克等大型配套~、能够满足您日常.,公交车：线804路、886路、805路、799路、920路、922路、924路、926路、509路、66路、803路等数十几条公交路线地铁：地图2、3、14线嘉禾望岗站、3号线白云大道北站
精装修、楼层好、交通方便刚需两房,183,26032,白云,2室2厅1卫,70.3㎡,平层,暂无数据,中楼层(共5层),暂无数据,暂无,南,钢混结构,精装,,,南方医科大学、南部战区总医院商场：金铂天地吉之岛、好又多、乐购医院：南方医院、一五七医院银行：中国工商银行、中国建设银行、中国邮政储蓄银行、中国农业银行、中国银行、广州农商银行其它：白水塘肉菜,地铁：小区距离地铁3号线同和站约500米；公交车：东坑站&同和站~、途经线路有179路、832路、833路、126路、804路B线、503路、136路、560路、862B路、502路、804A路、804路、夜14路、夜24路、296路、836路、509路、862A路、56路。
