标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
中高层三房~、采光通风好~、业主诚心放卖,355,40946,海珠,2室1厅1卫,86.7㎡,平层,塔楼,中楼层(共32层),暂无数据,69.94㎡,北,钢混结构,精装,,有,楼下小区门口就是工商银行~、距离东晓南地铁口600米左右~、小区门口30米左右就有多条公交线路,
安静大院 交通便利 采光通透 资源好 两房 诚意出,178,24055,海珠,2室2厅1卫,74㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,东南,钢混结构,其他,,,好又多市~、苏宁易购~、广8新一城等。医院：广医二院、河南医院、省口腔医院、珠江医院、市红会医院~、银行：农业银行、工商银行、中国银行、广州农工商银行、花旗银行,途经公交车：25路;44路;69路;70路;186路;197路;206路;221路;222路;226路;244路;244路;250路;299路;530路;780路;812路;813路;高峰快线22路;广565路;广夜103路;夜22路;夜29路;夜42路;夜44路;夜45路;夜93路地铁：宝岗大道
水岸榕城 满五唯一 视野开阔 精装保养好 双阳台  省级,435,55211,海珠,2室2厅1卫,78.79㎡,平层,塔楼,高楼层(共18层),暂无数据,65.2㎡,东北,钢混结构,精装,,有,商场：凯德乐峰广场200米~、7-ELEVEN320米等；医疗：海珠区红十字会医院700米~、南方医科大学珠江医院1100米~、广州医科大学附属第二医院2000米；银行：中国银行~、广州银行~、平安银行~、建设银行酒店：7天~、商务酒店,公交：榕景路133米~、沙园站176米~、凤凰新村（宝业路口）320米~、沙渡路387米地铁：沙园211米（广佛与8号线汇集）~、凤凰新村953米房主自荐(业主对房源的描述)
利安花园   保养好  业主诚意卖,350,46823,海珠,2室1厅1卫,74.75㎡,平层,塔楼,低楼层(共9层),暂无数据,70.98㎡,东,钢混结构,其他,,有,1.距离四季天地大商场400米~、出门就是岭南广场~、方便日常购物。2.距广州塔地铁站200米左右~、交通便利。3.省二医~、二沙岛医院4.浦发银行农业银行建设银行等等,小区离3号线广州塔站200米的距离~、小区门口广州塔西公交车站~、还有赤岗塔公交车站~、11号、旅游1号、2号、131B、121、121A、262等多条公交线
温馨实用两房~、配套成熟 满五唯一~、双地铁,145,32754,海珠,2室1厅1卫,44.27㎡,平层,塔楼,中楼层(共8层),暂无数据,40.35㎡,南,钢混结构,其他,,,地铁配套；昌岗二号线八号线双地铁交通便利。商场配套；信和广场~、合生生活天地等。医疗配套；南方口腔医院广州医科大学附属第二医院等三甲综合医院。,地铁配套；昌岗二号线八号线双地铁交通便利。商场配套；信和广场~、合生生活天地等。医疗配套；南方口腔医院广州医科大学附属第二医院等三甲综合医院。
框架结构全新装修 全明屋 可公积金贷款 石米外墙,149,19936,海珠,3室1厅1卫,74.74㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南,钢混结构,其他,,,配套理想~、有红十字会新一城中新大厦写字楼商场：江南西步行街新一佳屈臣氏国美电器苏宁电器市场：金昌肉菜市场润南肉菜市场沙园市场楼下出门珠江边海幢公园银行：中国银行建设银行工商银行农业银行,配套理想~、有红十字会新一城中新大厦写字楼商场：江南西步行街新一佳屈臣氏国美电器苏宁电器市场：金昌肉菜市场润南肉菜市场沙园市场楼下出门珠江边海幢公园银行：中国银行建设银行工商银行农业银行
东向望广州塔 装修新拎包入住 两房 近地铁,135,32274,海珠,2室1厅1卫,41.83㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,东南,钢混结构,精装,,,此房位于海珠区市二宫老城区生活配套齐全步行200米内市二宫地铁口东行过马路盒马肉菜市场西行红十字会医院北行过桥是越秀海珠广场南向昌岗到番禺公交车医院大商场酒楼饭店珠江边等均在生活半径,市二宫地铁300米、公交站200米、周边有富基广场大型商场、市二宫重建中
滨江西原装电梯~、中国银行宿舍~、东南向。,350,46773,海珠,3室1厅1卫,74.83㎡,平层,塔楼,高楼层(共15层),暂无数据,暂无,东南北,钢混结构,精装,,有,老城区配套成熟~、交通便利~、旺中带静。离滨江西~、同福西商圈近。~、医院有市三甲红十字会医院~、有菜市场。,
基立下道 框架结构~、户型方正两房。安静舒适,99,21783,海珠,2室1厅1卫,45.45㎡,平层,塔楼,高楼层(共6层),暂无数据,暂无,北,钢混结构,简装,,,商场：V国广场、博济康之选医药、好又多C市、家乐福C市、永乐电器、蓝色快线医院：广州市红十字会医院银行：光大银行、中国工商银行、中国建设银行饮食：表妹餐厅、海名阁酒家娱乐：广州市第二工人文化宫、威仕演艺吧其它：滨江派出所、滨江街江湾,公交车：江湾桥南站~、途经线路包括11、264和811地铁：地铁2号线市二宫站
市二宫近地铁框架结构3个阳台宝宇直,168,25478,海珠,2室1厅1卫,65.94㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,北,钢混结构,其他,,,,市二宫地铁300米、公交站200米、周边有富基广场大型商场、市二宫重建中
