标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
满五年唯一南向两房 格局楼层好视野开阔采光充足,330,39760,海珠,2室2厅1卫,83㎡,平层,塔楼,高楼层(共32层),暂无数据,68.36㎡,西南,钢混结构,简装,,有,生活配套：华润、城光荟。医院：石溪医院、珠江医院、中山二院南院、恒大社区健康医疗邮局：鸣翠邮局、南石头邮局银行林立：工行、兴业、招行、邮政等。餐饮：KFC、麦当劳、真功夫潮汕美食等。娱乐休闲金碧大世界等、明星会KTV等,步行50米左右到达金碧花园公交站台、线路：13、59、79、86、87、180、221、230、288、309、546、551等.步行100米左右到达广佛线石溪地铁站B出口。房主自荐(业主对房源的描述)
电梯小户型、校园管理严格、环境好、全南格局,133,35581,海珠,1室1厅1卫,37.38㎡,平层,塔楼,中楼层(共9层),暂无数据,34.15㎡,东南,钢混结构,简装,,有,公园：晓港公园医院：新海医院、省荣军医院市场：康乐村菜市场银行：建设银行、中国银行,出门就是中大公交站：24路、83路、121路、131路、182路、204路、229路、247路、266路、272路、822路、130路、178路、204路；地铁8号线中大站。11号线五凤地铁站
次新小区、精装南北对流、近三条线地铁,378,31632,番禺,3室2厅2卫,119.5㎡,平层,塔楼,中楼层(共11层),暂无数据,暂无,南,钢混结构,精装,,有,350米处分别有3号线终点站番禺广场站出口、永旺梦乐城；800米处有清河一级农贸批发市场；1公里范围内有中国银行、建设银行、中信银行等；3公里范围内有番禺中医院和何贤医院、配套比较成熟、生活很便利,300米即可到地铁三号线终点站番禺广场C出口、番禺广场18号线和22号线、交通更加便利、门口有公交车可通往亚运城、南沙等方向、位于亚运大道和番禺大道北交会处300米距离、四通八达。
广州碧桂园秀苑 单边位 中间楼层,180,26432,番禺,2室1厅1卫,68.1㎡,平层,塔楼,中楼层(共7层),暂无数据,60.59㎡,东北,钢混结构,精装,,,配套：银行、饮食店铺、菜市场、停车场、地铁、公交站.....基本的生活配套设施都齐全。商场：碧桂园、顺客龙、七十一便利店、顺联广场等等医院：宠物宝宝医疗馆,公交车：广州碧桂园总站、番禺区内1号线、场305路、高峰快线13、高峰快线13(节假专线)、另小区有专车来返天河。还有免费摆渡车在洛溪的bai佳旁边。公交地铁接驳：专线4、专线3（均从3号线的厦滘站出来)。地铁：地铁2号线南浦站C出口
泰景东城华庭 实用三房 楼龄新 大沙东双地铁 怡园北校,300,30118,黄埔,3室2厅1卫,99.61㎡,平层,塔楼,低楼层(共27层),暂无数据,76.2㎡,东北,钢混结构,精装,,有,黄埔区医院、港湾医院、黄埔区妇幼保健院购物摩登货广场、佳级市场、茘香菜市场休闲黄埔公园、大沙地步行街、饮食广州酒家、山水酒店、华苑酒家,距5号线7号线：大沙东地铁口600米左右；距离黄埔体育馆南门站100米、公交线路有两条线路；距离黄埔体育总站139米、共有11条线路。B31、B16、431、43、B5、517、B27、Ｂ２８、B26。
泰然楼 2室1厅 北,158,31946,天河,2室1厅1卫,49.46㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,北,钢混结构,其他,,,,
（靓！靓！靓）祈福名都3房精装修保养靓仔少有手慢无,255,29117,番禺,3室2厅2卫,87.58㎡,平层,板楼,低楼层(共32层),暂无数据,暂无,北,钢混结构,其他,,有,,
通大旭日园 3室2厅 南,170,16889,南沙,3室2厅2卫,100.66㎡,平层,塔楼,低楼层(共24层),暂无数据,暂无,南,钢混结构,其他,,有,,
科城山庄峻森园 2室1厅 北,260,41244,黄埔,2室1厅1卫,63.04㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,北,钢混结构,精装,,有,,
装修保养好 精装2房 望花园 居住舒适,95,11374,花都,2室2厅1卫,83.53㎡,平层,板楼,低楼层(共32层),暂无数据,68.48㎡,北,钢混结构,精装,,有,属于汽车城板块、近天马河；小区附件有飞鹅岭山顶公园、风神康体公园、亚运会体育分场馆、环境优美、闹中取静、工作、休闲、生活相得益彰。综合配套完善、娱乐会所、社区医院和菜市场就在楼下、华润、菜市场、果园、大森林、粤菜湘菜馆等,门口有地铁9号线飞鹅岭站、有花68.花24.花58.花248路公交车经过、距离广州北站约4公里、交通四通八达、
楼层好、视野宽阔采光足交通便利,143.8,13475,增城,3室1厅2卫,106.72㎡,平层,塔楼,高楼层(共30层),暂无数据,81.4㎡,南北,钢混结构,毛坯,,有,悦兴市场、西州市场、大润发饮食：肯德基（新塘大道店）、新世界美食街、子豪程酒店银行：3公里内有：建设银行、工商银行、中国银行、中信银行、医院：水电医院、暨华医院、增城市南方医院！,交通出行：13号线沙村地铁口（1016米）、公交车东阳光站：增城39路（266米）、沙村地铁站：571路、增城22/24/25/29/39/45等
越秀区 低层一房 格局方正实用 通风采光好 近地铁,108,20878,越秀,1室1厅1卫,51.73㎡,平层,塔楼,低楼层(共8层),暂无数据,暂无,北,钢混结构,简装,,,市场：沙涌南市场、瑶台市场、乐嘉路市场：卜峰莲花、胜佳；医院：广州中医学院、白云区妇幼保健院；交通：小区步行到北站车站300米、有十多路公交车111、105、108、113、278、475；地铁：叁元里地铁口C2出口400米,瑶台花园位于叁元里大道瑶华中街、小区建于1995年左右、交通方便、400米到叁元里地铁C2出口、多路公交站、北站路站、瑶华路站、等等
绿地城泊语湾 3室1厅 东北,139,16273,黄埔,3室1厅1卫,85.42㎡,平层,板塔结合,低楼层(共33层),暂无数据,暂无,东北,钢混结构,精装,,有,,
