标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
金沙洲地铁六号线 自住三房 急售 环境好居住舒适,132,15112,南海,3室2厅1卫,87.35㎡,平层,板楼,中楼层(共6层),暂无数据,76.85㎡,西南,钢混结构,精装,,,地铁：6号线、12号线（在建）。商场:万达、永旺、广百、金箔、星港城、永润。医院：金沙洲医院、黄岐医院、四季花城诊所、沙溪卫生服务站。公园：里水花卉世界、浔峰山公园、伯奇公园、金沙洲江滨公园、凤鸣洲公园。银行：农业银行、中国银行、建设银行,
万科四季花城 电梯两房 南向实用户型 近广州,99,13907,南海,2室2厅1卫,71.19㎡,平层,塔楼,中楼层(共23层),暂无数据,56.3㎡,南,钢混结构,精装,,有,地铁：6号线、12号线（在建）。商场:万达、永旺、广百、金箔、星港城、永润。医院：金沙洲医院、黄岐医院、四季花城诊所、沙溪卫生服务站。公园：里水花卉世界、浔峰山公园、伯奇公园、金沙洲江滨公园、凤鸣洲公园。银行：农业银行、中国银行、建设银行,广州地铁6号线地铁6号线276路、283路、12路、高峰30路万科四季花城、广州万科四季花城公交总站、去往白云、越秀、天河等、沈海高速泌冲出入口、横沙广州环城路、佛山一环
精品三房  全屋定制装修  保养好,185,21765,南海,3室2厅1卫,85㎡,平层,板塔结合,高楼层(共32层),暂无数据,暂无,东北,钢混结构,精装,,有,金沙洲菜市场、洲村菜市场、里水影城、浔峰山公园、里水医院、广州中医药大学附属医院金沙洲医院,时代天境小区楼下有多路公交站通往广州和佛山：里07、231、657、佛沥182等、2站公交车到浔峰岗地铁站、5站到火车站
糖果2期南向高楼层3房、过五年唯一业主急售！,138,15863,南海,3室2厅1卫,87㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,南,钢混结构,精装,,有,小区配套还算比较成熟、离小区800米的地方有金峰洲xx、离小区100米的地方有永润广场和卜峰莲花等。,
时代水岸 电梯大四房 视野开阔 诚意出售,229,20064,南海,4室2厅2卫,114.14㎡,平层,塔楼,中楼层(共30层),暂无数据,暂无,东南,钢混结构,精装,,有,门口有大型海北肉菜市场、还有万达广场、国昌新城市广场、海北广场、嘉州广场、金铂天地等、金沙童话王国、梦车小镇（招商中）、宝轮海鲜市场、永旺梦乐城、金沙大都汇,广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）广205、789.653等等过20条线接驳广州东站天河城珠江新城北京路
恒大御景湾 2室1厅 东南,216,23402,南海,2室1厅1卫,92.3㎡,暂无数据,板塔结合,高楼层(共33层),暂无数据,暂无,东南,钢混结构,精装,,有,,
楼层好、视野宽阔、采光充足、配套设施齐全,255,21228,南海,3室2厅2卫,120.13㎡,平层,板塔结合,低楼层(共45层),暂无数据,92㎡,西,钢混结构,精装,,有,饮食：沙田、麦当劳、金汇景海鲜酒家、金沙喜宴大酒楼等、二、商场：广百百货、华润万家、三、公园：浔峰山森林公园、滨江公园、四、医院：金沙洲首家三甲-广州中医药大学附属医院,小区门口就有公交车站、去广州地铁6号线浔峰岗站、在建的里横路站约两年后通车、三个站、有里07.广231.974等车线高速路口：沙贝站、泌冲站里水佛山一环段
糖果三期 2+1户型实用 中间排安静 出入方便,118,15734,南海,2室2厅1卫,75㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,东北,钢混结构,精装,,有,商场：永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、建行、中行、农行。,据规划、预计2024年底前小区旁边开通地铁与有轨电车！！！公交：里10、广夜91、广657等等、广657公交车可快速到达地铁6号线浔峰岗站。与金沙洲大桥、内环路相接、环城高速、广佛高速、佛山一环快速连接珠三角。
时代天境 3室1厅 东北,245,29119,南海,3室1厅1卫,84.14㎡,平层,板塔结合,中楼层(共32层),暂无数据,67.56㎡,东北,钢混结构,精装,,有,,
沙面新城  南向望江 精致装修  诚心出售,615,27031,南海,5室2厅2卫,227.52㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,南北,钢混结构,精装,,有,配套成熟、衣食住行样样方便衣、海北广场、万达广场、国昌广场、还有时代广场、,沙面新城站公交线路如下:广205路、广132路、广277路、快线57路、桂19路、沥08路、沥07路等
御景湾高层西南向2房 安静舒适 明亮 业主急售,150,16639,南海,2室2厅1卫,90.15㎡,平层,塔楼,高楼层(共58层),暂无数据,暂无,南,钢混结构,精装,,有,永润广场、百信广场、家乐福、好又多、永乐电器、国美、苏宁、华润万家、糖果万佳、7-11便利店、卜蜂莲花、国昌新城市广场,公交车：直通社区、途经线路有213路、257路、259路、289路、290路、夜16路、12路、276路、283路、高峰30、55路、974路。里07路、里07B路
一线望江  正南向 中楼层  业主诚心卖,420,29762,南海,4室2厅2卫,141.12㎡,平层,塔楼,中楼层(共50层),暂无数据,暂无,南,钢混结构,精装,,有,旁边有商场、海北广场、金铂天地、万达广场等等配套比较成熟、深受大家喜欢,
万科四季花城 近广州地铁 复式户型 实用 价格实惠,200,22176,南海,4室2厅2卫,90.19㎡,平层,塔楼,高楼层(共6层),暂无数据,79.73㎡,东北,框架结构,简装,,,万达、金铂、永旺、广百等大型广场。有广附、华侨、中大附属外语、金沙、泌冲、海北等。金沙、黄岐职校、横沙、城西、四季花城等幼儿园。中国、民生、工商、建设等银行。横沙卫生站、荔湾区门诊部、金沙洲、黄岐医院。还配有健身房、蓝球场、游泳馆等,小区大门口就是公交车站、地铁6号线、公交车276路、283路、12路、高峰30路、有去往广州越秀、天河、海珠以及佛山的各路公交车、广佛高速、环城高速、四通八达、交通便利。
