标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
满五、产权清晰无欠款 业主诚意出 看房方便,381,27306,南沙,4室2厅2卫,139.53㎡,平层,板塔结合,低楼层(共32层),暂无数据,暂无,南,钢混结构,毛坯,,有,,小区门口就有公交站、多路公交达南沙各位置、距离蕉门地铁站1公里、18号线地铁站1.5公里规划一广州地铁15号线体育馆站距小区200米。
次新房 阳光城悦然府 中层南北对流 视野开阔交通便利,236,18871,南沙,4室2厅2卫,125.06㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,南,钢混结构,精装,,有,,小区门口有公交站、1.5公里内到达金州地铁站、离番禺、中山、深圳、40公里公里范围内.交通便利.
地铁口112方3+1房 全新精装未住过,220,19533,南沙,4室2厅2卫,112.63㎡,平层,塔楼,高楼层(共31层),暂无数据,89.65㎡,南,钢混结构,精装,,有,,小区出行交通便利、楼下就有公交车站、最近的地铁站约300米~
星河东悦湾 全屋定制装修三房二卫 业主急卖!!,230,26084,南沙,3室2厅2卫,88.18㎡,平层,塔楼,中楼层(共39层),暂无数据,69.9㎡,东北,钢混结构,精装,,有,刚需年轻一族对配套要求成熟、全新立马交楼入住、近区政府板块。,小区门口有公交车站、1个站左右可以到地铁四号线金洲地铁站、可到广州市区、南沙客运港方向
丰庭花园 南向三房 保养好 采光充足,105,11360,南沙,3室2厅1卫,92.43㎡,平层,塔楼,高楼层(共10层),暂无数据,暂无,南,钢混结构,精装,,有,公园：步行600米蕉门河公园、3公里左右大型儿童公园地铁：出门地铁口50米医院：步行450米三甲医院商场：步行500米某达广场、小区门口50米风信子跨境商场,距金洲地铁口150、南沙人民医院公交车站150、达广场公交站有到南沙各个区域、金洲的下一个蕉门地铁口是南沙的公交的总站、直达白云机场、广州南站、深圳机场等各大交通枢纽站、随着政府的投入、交通非常便利！
南向大三房、高层视野开阔、俯瞰凤凰湖、精装拎包入住,248,22845,南沙,3室2厅2卫,108.56㎡,平层,塔楼,高楼层(共31层),暂无数据,暂无,南,钢混结构,精装,,有,休闲环境优美、楼下就是凤凰湖公园、多个公园和湖泊、空气清新、是散步、锻炼的好去处。,走路去地铁4号线蕉门站很方便；驾车前往地铁18号线横沥站很快。此外、多条公交线路、出行无忧！
通大旭日园 3室2厅 南,170,16889,南沙,3室2厅2卫,100.66㎡,平层,塔楼,低楼层(共24层),暂无数据,暂无,南,钢混结构,其他,,有,,
低密度舒适小区  环境清幽 南向三房 保养良好满五唯一,145,15037,南沙,3室2厅2卫,96.43㎡,平层,塔楼,中楼层(共16层),暂无数据,暂无,东南,钢混结构,其他,,有,,小区门口有公交车站、1个站左右可以到地铁四号线黄阁地铁站、可到广州市区、南沙客运港方向
金州地铁 时代云图2房 东边边位 保养好,146,21592,南沙,2室1厅1卫,67.62㎡,暂无数据,塔楼,低楼层(共31层),暂无数据,53.15㎡,东北,钢混结构,精装,,有,,
创鸿嘉园大三房中楼层、南向带装修、过五年,248,20659,南沙,3室1厅2卫,120.05㎡,平层,塔楼,中楼层(共31层),暂无数据,95.73㎡,西南,钢混结构,其他,,有,2公里内有景观蕉门河、医院、图书馆；1公里内有购物广场、肯德基、幼儿园、健身房、电影院等,交通方便800米能到达地铁口、500米生活商圈与健身运动、餐饮酒店、公园、商场、进港大道300米、出行便利、医院不到1公里。
户型好、7米大阳台、包产权车位、业主诚心,170,17890,南沙,3室2厅2卫,95.03㎡,平层,塔楼,低楼层(共32层),暂无数据,暂无,南,钢混结构,精装,,有,小区所在在南沙湾板块配套丰富。南沙客运港四号地铁站；南沙客运港、坐快艇直达香港中港城；南沙游艇会；南沙邮轮母港；南沙黄山路森林公园；南沙天后宫；南沙大酒店；南沙花园酒店、蒲州花园等系列休闲娱乐配套、宁静与繁华兼得。,
房子好样好、视野开阔、可以看广场,210,21493,南沙,3室2厅1卫,97.71㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,北,钢混结构,其他,,有,,地铁口走路5min、公交站门口多条线路、方便快捷、地铁4号线和18号线通勤。
星河智荟 3室2厅 南,205,20708,南沙,3室2厅2卫,99㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,南,钢混结构,其他,,有,,
南北对流+中层+园景+视野开阔+保养新净+即买即住,245,19507,南沙,3室2厅2卫,125.6㎡,平层,塔楼,中楼层(共23层),暂无数据,暂无,南北,钢混结构,其他,,有,小区门口有钱大妈、小型肉菜市场、美宜佳便利店、1500米到南沙医院、2000到达蕉门河公园和大型购物广场,门口就有公交车站、可以到达南沙各地、东门600米到达飞沙角地铁站、5个站到达庆盛高铁站
三房两卫两厅两阳台南向精装修带车位,285,26416,南沙,3室1厅2卫,107.89㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,南,钢混结构,精装,,有,,地铁口走路5min公交站门口多条线路方便快捷地铁4号线和18号线通勤金隆在旁边走路10min小区后面就是南沙中金隆
满五唯一、望蕉门河景观、南北对流户型,249,20640,南沙,3室2厅2卫,120.64㎡,平层,板塔结合,中楼层(共30层),暂无数据,90.96㎡,南北,钢混结构,其他,,有,,
140方4房2卫 高层采光好、户型方正、看房有密码、,280,19986,南沙,4室2厅2卫,140.1㎡,平层,板楼,中楼层(共28层),暂无数据,暂无,北,钢混结构,精装,,有,旁边有全国36个洞的高尔夫球场黄山鲁森林公园游艇会。门口有公交车站、3公里就看到达南沙客运港,小区门口就有公交车站3路53路19路24路等多条公交班次
南沙湾御苑 3房1卫 南向、户型方正、高层采光好,185,17944,南沙,3室2厅1卫,103.1㎡,平层,板楼,中楼层(共28层),暂无数据,暂无,南,钢混结构,其他,,有,旁边有全国36个洞的高尔夫球场黄山鲁森林公园游艇会。门口有公交车站、3公里就看到达南沙客运港。,小区门口就有公交车站3路53路19路24路等多条公交班次。
时代南湾看湖看海大平层景观房中间楼栋安静舒适,368,21896,南沙,4室1厅3卫,168.07㎡,平层,板塔结合,中楼层(共32层),暂无数据,暂无,东南,钢混结构,其他,,有,区内就是一个很好的公园、南门出口就是九王庙市场、每天都有当地人自种的新鲜蔬菜和水果、出门就是公交站、出行方便。小区南门出口就是黄山鲁上山出入口、每天早上或者周末去爬爬山、天然的氧吧、路段好、景色优美。,出行方便、出门就有公交站、线路多、班次多。离高速路口近、去东莞、深圳、中山、都很方便。两个公交站的距离到达邮轮母港、可前往香港、日本、新加坡等、不用去机场也能出国了地铁：2.8公里到南沙客运港站（4号线起点站）公交:南沙18南沙19南沙53。
