标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
时尚明苑 实用2房 厅直出阳台 全明户型 近地铁,258,40275,天河,2室1厅1卫,64.06㎡,平层,塔楼,中楼层(共11层),暂无数据,51.72㎡,东,钢混结构,简装,,有,商场：天河购物广场、好又多、易初莲花、东圃购物广场、天河城医院：家家乐医院、红十字会医院邮局：东圃邮局、天朗明居邮局银行：农业银行、建设银行、工商银行、中国银行、招商银行、交通银行其他：天河公园、航天奇观,中山大道中交通便利、四通八达、出行有地铁、公交、去琶洲和珠江新城都很方便、公交：B1路、B2A路、B3路、B4路、B4B路、B5路、B6路、B7路、B15路、B16路、B17路、B18路、B19路、B20路、B27路地铁：4号线车陂站
德荣小区 南向电梯三房 住家舒适 采光通风好 近太古汇,419,43551,天河,3室1厅1卫,96.21㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,南西,钢混结构,简装,,有,商场太古汇天娱广场摩登购物广场曜一城正佳广场市场国六宝肉菜市场龙口东肉菜市场肉菜市场医院中山三院侨怡医院天河妇幼保健院博爱医院银行中国银行广发银行中国工商银行农业银行建设银行招商银行,公交车天河东路龙口东路站途经线路包括20路、78路、130路、133路、135路、191路、230路、232路、306路、32路、41路短线地铁地铁3号线石牌桥站
高层南向三房、全屋精装品牌家具。,399,50195,天河,3室2厅1卫,79.49㎡,平层,塔楼,高楼层(共21层),暂无数据,63.55㎡,东南,钢混结构,精装,,有,天河新塘街社区卫生服务新塘社区医院、科汇广场、优托邦大型购物广场、火炉山公园、天河智慧城、天河国际生态区,出行便利公交可到达奥体、珠江新城、地铁21号线大观南路站已通车、坐地铁去往珠江新城只需要6站。
燕塘地铁3/6号线、电梯两、三房 南向 阳光充足,260,35226,天河,3室2厅1卫,73.81㎡,平层,塔楼,低楼层(共10层),暂无数据,暂无,南,钢混结构,简装,,有,小金燕A幢一楼即有综合菜市场：金贸生活市场、一家人每日不出远门即可采购新鲜蔬果肉类。临街门面有银行、餐馆、理发店等与生活息息相关的配套。居于此让您出行和生活更便利、医院：南方医科大学燕岭分院、三甲武警医院。银行：中国工商银行、农业银行,金燕花园距离3、6号双地铁燕塘地铁口550米、距离广州东站驾车3公里、地铁仅一站。门口就有金燕生活区公交站50米、公交有54、89、503、B11、夜10路、距离燕塘企业450米、有三十多辆公交车经过。如果开车出行、1公里内能上广园快速路和华南快速去住珠三角各城市
华师北区  框架结构  电梯方正两房  南北对流  诚心卖,490,78238,天河,2室2厅1卫,62.63㎡,平层,板楼,低楼层(共6层),暂无数据,暂无,南,钢混结构,简装,,,,
兰亭三期 温馨三房 采光通风好 业主诚心卖,490,59265,天河,3室2厅1卫,82.68㎡,平层,塔楼,低楼层(共40层),暂无数据,65.87㎡,西南,钢混结构,精装,,有,近5号线东圃地铁站、小区配套设施齐全。宜家家居、居然之家、盒马生鲜、美林天地、还有山姆会员店、小区旁就有惠美家、肉联邦、美宜佳、钱大妈、菜市场等。,交通便利、一纵两横、两条主干道（黄埔大道、中山大道）、一条快速路、驾车通行方便、（近5号线东圃地铁站、步行800米、最近距离600米左右）、横穿四大区、小区门口就有公交总站、公交直驳地铁站。
骏景花园南向两房 阳光暖洋洋 安静望园林,410,50837,天河,2室2厅1卫,80.65㎡,平层,塔楼,中楼层(共11层),暂无数据,暂无,南,钢混结构,精装,,有,骏景花园里面含餐饮美食店、美容店、水果店、菜市场、理发店、便利店、银行柜员机、药店、supermall等、基本上小区住户不出小区便可解决日常生活所需。此外、小区本身配套了合生骏景广场、里面有影院、健身房、银行和餐饮店、而小区西边的科新路为美食街。,公交车站：棠东站、棠下站(BRT)途径线路：B1路、B2路、B2A路、B3路、B4路、B4A路、B5路、B6路、B7路、B8路、B12路、B16路、B20路、B21路等公交线路、可通往广州各区。地铁5号线科韵路、车陂南、4号线车陂站、13号线棠下站(在建
汇景新城上城峰境 4室2厅 南,1590,67453,天河,4室2厅3卫,235.72㎡,平层,塔楼,低楼层(共30层),暂无数据,暂无,南,钢混结构,简装,,有,,
兰亭盛荟 横厅南向三房 头排望江 视野开阔 诚心卖,780,73537,天河,3室2厅2卫,106.07㎡,平层,塔楼,高楼层(共33层),暂无数据,85.68㎡,南,钢混结构,精装,,有,,交通便利、一纵两横、两条主干道、一条快速路、驾车通行方便、（近5号线东圃地铁600米、步行800米、最近距离600米左右）、横穿四大区。
单边位2房、双阳台、三梯八户、通风采光好！,770,106886,天河,2室1厅1卫,72.04㎡,平层,塔楼,高楼层(共32层),暂无数据,58.8㎡,北,钢混结构,简装,,有,18号线已经开通、地铁5号线猎德站、双地铁。交通出行便利、购物商场、肉菜市、酒店、咖啡馆、中式、西式、港式餐厅、会所、四大银行、医院、优托邦、健身/游泳/SPA会所。高德置地春夏秋冬广场、东西塔、广州塔、兴盛路风情街。,地铁5号线三个地铁站、公交车到处打车方便、上至黄埔大道、下到临江大道、西为广州大道、东为华南快速、珠江新城主干道四通八达、畅通无阻、出行便利
东圃广场 3室1厅 东南,430,43905,天河,3室1厅1卫,97.94㎡,平层,塔楼,中楼层(共19层),暂无数据,暂无,东南,钢混结构,精装,,有,,
棠德花苑 2室1厅 西,180,29807,天河,2室1厅1卫,60.39㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西,钢混结构,其他,,有,,
次新小区、精装3房、 南北向 绿化好宜居 交通便利,490,51149,天河,3室2厅2卫,95.8㎡,平层,塔楼,低楼层(共20层),暂无数据,暂无,南,钢混结构,精装,,有,未来ing综合体、广州医科大学中医医院、天健汇（华见）天河城、迪卡侬运动、欧尚大型、西蒙、大地数字影院、小Q儿童城及大型泳乐场、苏宁电器、华润、卜峰莲花。,公交：764路、40路、408路、764路广氮花园总站、广氮花园南、BRT多条线路通往5号线车陂南站、4号线车陂。距离已开通的地铁4号线黄村站1660米、棠东站21号线
沙河南城龙岗路口新电梯小区户型方正业主诚心卖少有挂,215,29849,天河,2室2厅1卫,72.03㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,有,,【交通出行】沙河大街先烈东路、沙河大街站几十条公交站、沙河站双地铁6号11号线交汇、出来到沙河顶上内环路东风路、中山一立交等主干道很方便。南北走向、东西走向就可速达。
保利林海山庄 3室2厅 东北,380,38713,天河,3室2厅2卫,98.16㎡,平层,塔楼,高楼层(共9层),暂无数据,85.23㎡,东北,钢混结构,其他,,有,,
准电梯、南北向、安静、步行500米到天河公园和地铁站,315,34919,天河,2室1厅1卫,90.21㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,南,钢混结构,其他,,,医院：华侨医院邮局：员村邮局银行：中国银行、中国工商银行、中国建设银行、中国农业银行龙岛酒家、金华安酒家、璟轩酒家、君利大酒店、天河公园、跑马场,交通方便、出门就是黄埔大道、地铁线21号线天河公园站、公交：261路、278路等
暨南大学南北对流三房、诚意急出、中层少有放盘的,450,57013,天河,3室1厅1卫,78.93㎡,平层,板楼,中楼层(共5层),暂无数据,71.31㎡,南北,混合结构,精装,,,,
金融城中层南向三房 采光通风好,160,28572,天河,3室1厅1卫,56㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,,商场：好又多、礼加诚龙盛购物电影院：哈艺影城、龙影影城医院：天河棠德社区医疗门诊部、广州家家乐医院邮局：中国邮政天朗明居储蓄所银行：广州市农商银行、中国工商银行、中国邮政、便利店公园：天河公园。,自驾棠德南路连接科韵路和车陂路可以从科韵路上广园快速也可以从车陂路上环城高速公交棠下小区总站小区东站公交BRT可直达广州各区地铁现有棠东站地铁站距离约500m
